,Date,환율,금리,y,ROE,영업이익률,부채비율,EPS,순이익률,BPS,PER,PBR
40,2013/02/26,1084.900024,2.75,30540,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
41,2013/02/27,1089.099976,2.75,30540,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
42,2013/02/28,1083.900024,2.75,30880,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
43,2013/03/01,1083.199951,2.75,30880,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
44,2013/03/04,1060.300049,2.75,30780,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
45,2013/03/05,1089.900024,2.75,31000,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
46,2013/03/06,1085.5,2.75,31200,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
47,2013/03/07,1083.400024,2.75,30400,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
48,2013/03/08,1086.599976,2.75,29980,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
49,2013/03/11,1076.199951,2.75,30160,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
50,2013/03/12,1093,2.75,29880,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
51,2013/03/13,1094.5,2.75,30540,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
52,2013/03/14,1097.699951,2.75,30400,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
53,2013/03/15,1106.699951,2.75,29600,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
54,2013/03/18,1125.800049,2.75,28900,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
55,2013/03/19,1113.5,2.75,29500,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
56,2013/03/20,1112.199951,2.75,29200,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
57,2013/03/21,1114.800049,2.75,29140,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
58,2013/03/22,1115.199951,2.75,29100,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
59,2013/03/25,1089.900024,2.75,29900,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
60,2013/03/26,1110.199951,2.75,30180,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
61,2013/03/27,1106.599976,2.75,30080,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
62,2013/03/28,1110.5,2.75,30200,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
63,2013/03/29,1112,2.75,30540,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
64,2013/04/01,1090,2.75,30240,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
65,2013/04/02,1086.400024,2.75,30500,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
66,2013/04/03,1117.099976,2.75,30420,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
67,2013/04/04,1116.800049,2.75,30120,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
68,2013/04/05,1123.599976,2.75,30100,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
69,2013/04/08,1136.5,2.75,30400,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
70,2013/04/09,1141.300049,2.75,30560,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
71,2013/04/10,1138.400024,2.75,30420,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
72,2013/04/11,1134.300049,2.75,30800,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
73,2013/04/12,1128.900024,2.75,30340,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
74,2013/04/15,1104,2.75,30460,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
75,2013/04/16,1118.599976,2.75,30560,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
76,2013/04/17,1112.800049,2.75,30360,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
77,2013/04/18,1120,2.75,29660,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
78,2013/04/19,1101.699951,2.75,29500,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
79,2013/04/22,1099.199951,2.75,30060,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
80,2013/04/23,1118.699951,2.75,29660,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
81,2013/04/24,1118.5,2.75,29720,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
82,2013/04/25,1115.699951,2.75,29880,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
83,2013/04/26,1110.599976,2.75,29720,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
84,2013/04/29,1108.800049,2.75,29620,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
85,2013/04/30,1103.199951,2.75,30400,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
86,2013/05/01,1100.699951,2.75,30400,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
87,2013/05/02,1099.5,2.75,30560,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
88,2013/05/03,1101.5,2.75,30700,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
89,2013/05/06,1072.800049,2.75,30280,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
90,2013/05/07,1093.800049,2.75,29860,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
91,2013/05/08,1089.300049,2.75,29760,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
92,2013/05/09,1056.199951,2.5,30300,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
93,2013/05/10,1091.099976,2.5,29520,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
94,2013/05/13,1084.300049,2.5,29540,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
95,2013/05/14,1112.199951,2.5,30000,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
96,2013/05/15,1108.900024,2.5,30000,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
97,2013/05/16,1113.800049,2.5,30160,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
98,2013/05/17,1116.699951,2.5,30160,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
99,2013/05/20,1093.599976,2.5,29940,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
100,2013/05/21,1116.5,2.5,29840,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
101,2013/05/22,1110.400024,2.5,30180,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
102,2013/05/23,1113.099976,2.5,29680,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
103,2013/05/24,1127.699951,2.5,29720,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
104,2013/05/27,1105.199951,2.5,29780,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
105,2013/05/28,1121.400024,2.5,29680,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
106,2013/05/29,1127,2.5,30240,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
107,2013/05/30,1131.099976,2.5,30880,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
108,2013/05/31,1127.599976,2.5,30760,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
109,2013/06/03,1107.5,2.5,30640,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
110,2013/06/04,1118.800049,2.5,30800,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
111,2013/06/05,1122.400024,2.5,30420,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
112,2013/06/06,1117.800049,2.5,30420,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
113,2013/06/07,1118.199951,2.5,28540,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
114,2013/06/10,1097.099976,2.5,28500,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
115,2013/06/11,1097.099976,2.5,27780,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
116,2013/06/12,1097.099976,2.5,27700,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
117,2013/06/13,1127.199951,2.5,27140,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
118,2013/06/14,1129.199951,2.5,27380,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
119,2013/06/17,1126.5,2.5,27320,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
120,2013/06/18,1125.969971,2.5,27740,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
121,2013/06/19,1133.5,2.5,27380,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
122,2013/06/20,1129.599976,2.5,26580,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
123,2013/06/21,1144.900024,2.5,26500,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
124,2013/06/24,1156.900024,2.5,26260,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
125,2013/06/25,1160.599976,2.5,25940,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
126,2013/06/26,1152.300049,2.5,25220,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
127,2013/06/27,1155.099976,2.5,26780,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
128,2013/06/28,1147.199951,2.5,26840,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
129,2013/07/01,1121.900024,2.5,26520,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
130,2013/07/02,1134.300049,2.5,26700,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
131,2013/07/03,1133,2.5,26020,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
132,2013/07/04,1140.199951,2.5,26340,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
133,2013/07/05,1138.900024,2.5,25340,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
134,2013/07/08,1141.599976,2.5,24520,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
135,2013/07/09,1147.400024,2.5,24740,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
136,2013/07/10,1140.900024,2.5,24960,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
137,2013/07/11,1134.599976,2.5,26240,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
138,2013/07/12,1123.400024,2.5,26240,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
139,2013/07/15,1123.800049,2.5,26260,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
140,2013/07/16,1120.900024,2.5,25960,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
141,2013/07/17,1113.800049,2.5,26400,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
142,2013/07/18,1116.099976,2.5,25840,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
143,2013/07/19,1123.599976,2.5,25460,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
144,2013/07/22,1118.400024,2.5,25460,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
145,2013/07/23,1117.599976,2.5,26140,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
146,2013/07/24,1116.300049,2.5,26300,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
147,2013/07/25,1115,2.5,26300,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
148,2013/07/26,1115.400024,2.5,26060,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
149,2013/07/29,1086.900024,2.5,25660,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
150,2013/07/30,1111.400024,2.5,25800,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
151,2013/07/31,1113.300049,2.5,25600,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
152,2013/08/01,1122.5,2.5,25600,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
153,2013/08/02,1122.400024,2.5,25720,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
154,2013/08/05,1123.599976,2.5,25480,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
155,2013/08/06,1112.900024,2.5,25080,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
156,2013/08/07,1113.099976,2.5,24440,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
157,2013/08/08,1114.199951,2.5,24340,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
158,2013/08/09,1111.599976,2.5,24600,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
159,2013/08/12,1110.599976,2.5,24640,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
160,2013/08/13,1113.199951,2.5,25800,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
161,2013/08/14,1117.599976,2.5,26000,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
162,2013/08/15,1117.599976,2.5,26000,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
163,2013/08/16,1117.300049,2.5,25900,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
164,2013/08/19,1112.5,2.5,25720,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
165,2013/08/20,1117.5,2.5,25380,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
166,2013/08/21,1119.5,2.5,25120,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
167,2013/08/22,1117.800049,2.5,25100,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
168,2013/08/23,1120.099976,2.5,25900,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
169,2013/08/26,1112.800049,2.5,26000,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
170,2013/08/27,1111,2.5,26080,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
171,2013/08/28,1116.400024,2.5,26180,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
172,2013/08/29,1113.900024,2.5,26880,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
173,2013/08/30,1111.699951,2.5,27360,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
174,2013/09/02,1110.099976,2.5,27020,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
175,2013/09/03,1097.599976,2.5,26740,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
176,2013/09/04,1101.400024,2.5,26800,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
177,2013/09/05,1093.199951,2.5,27300,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
178,2013/09/06,1096.699951,2.5,27380,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
179,2013/09/09,1092.199951,2.5,27460,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
180,2013/09/10,1085.699951,2.5,27920,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
181,2013/09/11,1085.099976,2.5,28040,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
182,2013/09/12,1085,2.5,28200,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
183,2013/09/13,1082,2.5,28120,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
184,2013/09/16,1080.300049,2.5,28500,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
185,2013/09/17,1080.699951,2.5,27720,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
186,2013/09/18,1081.5,2.5,27720,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
187,2013/09/19,1080.900024,2.5,27720,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
188,2013/09/20,1070.400024,2.5,27720,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
189,2013/09/23,1074.599976,2.5,27200,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
190,2013/09/24,1073,2.5,27460,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
191,2013/09/25,1073.5,2.5,27280,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
192,2013/09/26,1075.599976,2.5,27440,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
193,2013/09/27,1074.599976,2.5,27320,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
194,2013/09/30,1075.800049,2.5,27340,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
195,2013/10/01,1073.300049,2.5,27640,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
196,2013/10/02,1072.5,2.5,28360,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
197,2013/10/03,1073.199951,2.5,28360,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
198,2013/10/04,1070.699951,2.5,28360,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
199,2013/10/07,1069.099976,2.5,28720,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
200,2013/10/09,1074.099976,2.5,28720,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
201,2013/10/10,1074.599976,2.5,28600,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
202,2013/10/11,1070.699951,2.5,28860,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
203,2013/10/14,1069.199951,2.5,28760,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
204,2013/10/15,1070.199951,2.5,29140,20.38475805,16.08491146,42.70144767,197841,13.32564109,973898.1878,0.138697237,0.0281754298
